Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS,GW Site
126,38.99500367,-121.427934,24.0,39.201654,-121.502091,39.049092,-121.698706,38.84272,-121.624148,38.788627,-121.354197,38.940638,-121.157565,39.147291,-121.230897,1,19
127,38.375285,-121.2079688,26.0,38.582056,-121.280877,38.429854,-121.476291,38.223355,-121.402985,38.168783,-121.135471,38.320445,-120.940046,38.527217,-121.012143,1,19
128,37.755165,-120.9916888,26.0,37.962077,-121.063378,37.810213,-121.257602,37.603566,-121.185518,37.548516,-120.920399,37.699853,-120.726172,37.906765,-120.797064,1,19
129,37.13458133,-120.7790053,26.0,37.341656,-120.849506,37.190106,-121.042549,36.98329,-120.971657,36.927765,-120.708895,37.078799,-120.515854,37.285872,-120.585571,1,19
130,36.51347233,-120.5698305,685.0,36.72073,-120.639171,36.569473,-120.831044,36.362468,-120.761316,36.306468,-120.500871,36.45722,-120.309006,36.664475,-120.377575,1,19
131,35.89177733,-120.3640807,559.0,36.099238,-120.432289,35.948252,-120.623002,35.741038,-120.55441,35.684565,-120.296244,35.835057,-120.105545,36.042514,-120.172994,1,19
132,35.26943667,-120.161674,761.0,35.47712,-120.228776,35.326385,-120.418341,35.118942,-120.350858,35.061997,-120.094935,35.212249,-119.905389,35.419927,-119.971745,1,19
133,34.64639217,-119.962532,316.0,34.854317,-120.028555,34.703813,-120.216981,34.496122,-120.150581,34.438706,-119.896863,34.588738,-119.708462,34.796657,-119.77375,1,19
134,34.02258517,-119.7665775,409.0,34.230771,-119.831546,34.080478,-120.018844,33.87252,-119.953501,33.814633,-119.701955,33.964465,-119.514686,34.172644,-119.578933,1,19
135,33.397959,-119.573736,0.0,33.606425,-119.637675,33.456323,-119.823855,33.24808,-119.759545,33.189722,-119.510135,33.339373,-119.323989,33.547831,-119.387217,0,19
